iter	Passed	Remaining
530	51773	45728
531	51874	45633
532	51966	45531
533	52072	45441
534	52176	45349
535	52274	45252
536	52369	45152
537	52459	45048
538	52560	44954
539	52673	44869
540	52769	44771
541	52877	44682
542	52981	44590
543	53088	44500
544	53201	44416
545	53289	44310
546	53390	44215
547	53495	44123
548	53579	44015
549	53685	43924
550	53795	43837
551	53915	43757
552	54018	43664
553	54105	43558
554	54198	43456
555	54298	43360
556	54398	43264
557	54500	43170
558	54598	43073
559	54692	42972
560	54782	42868
561	54874	42767
562	54965	42664
563	55076	42577
564	55170	42476
565	55267	42378
566	55369	42283
567	55466	42185
568	55563	42087
569	55671	41997
570	55764	41896
571	55870	41805
572	55980	41716
573	56085	41624
574	56190	41531
575	56289	41435
576	56377	41330
577	56480	41236
578	56586	41145
579	56687	41049
580	56775	40944
581	56874	40848
582	56984	40758
583	57108	40680
584	57185	40567
585	57304	40484
586	57373	40366
587	57469	40267
588	57568	40170
589	57660	40069
590	57780	39986
591	57870	39883
592	57958	39779
593	58062	39685
594	58167	39593
595	58262	39493
596	58380	39409
597	58477	39311
598	58584	39219
599	58695	39130
600	58795	39034
601	58903	38942
602	59016	38854
603	59125	38764
604	59230	38671
605	59327	38572
606	59430	38478
607	59518	38373
608	59615	38275
609	59722	38183
610	59827	38089
611	59923	37990
612	60010	37885
613	60107	37787
614	60228	37704
615	60321	37603
616	60414	37502
617	60520	37409
618	60615	37309
619	60711	37210
620	60816	37116
621	60926	37026
622	61031	36932
623	61137	36839
624	61238	36743
625	61328	36640
626	61420	36539
627	61516	36439
628	61621	36346
629	61715	36245
630	61816	36149
631	61914	36051
632	61998	35945
633	62094	35846
634	62194	35749
635	62292	35651
636	62391	35554
637	62488	35455
638	62585	35357
639	62688	35262
640	62804	35174
641	62892	35071
642	62989	34972
643	63086	34873
644	63174	34770
645	63270	34671
646	63365	34572
647	63474	34480
648	63572	34382
649	63684	34291
650	63791	34198
651	63909	34111
652	64007	34013
653	64086	33905
654	64189	33809
655	64266	33700
656	64369	33605
657	64466	33507
658	64565	33409
659	64667	33313
660	64744	33204
661	64847	33109
662	64949	33013
663	65062	32922
664	65160	32825
665	65254	32725
666	65344	32623
667	65450	32529
668	65553	32433
669	65662	32341
670	65766	32246
671	65860	32146
672	65938	32038
673	66051	31947
674	66163	31856
675	66259	31757
676	66355	31658
677	66436	31552
678	66533	31454
679	66638	31359
680	66736	31261
681	66832	31162
682	66917	31058
683	67007	30956
684	67110	30860
685	67196	30757
686	67286	30656
687	67390	30560
688	67497	30467
689	67594	30368
690	67687	30268
691	67792	30173
692	67891	30076
693	67994	29980
694	68089	29881
695	68180	29779
696	68287	29685
697	68385	29587
698	68472	29485
699	68561	29383
